#{"t_start": 1686708937.5358617, "env_id": null}
r,l,t
-1.25,1,4.58363
-0.15,1,5.956432
-0.15,1,7.30706
-0.25,1,8.703946
-0.25,1,10.071274
-0.25,1,11.507565
-0.25,1,12.866244
-0.15,1,14.291883
-0.15,1,15.655913
-0.25,1,17.177737
-0.25,1,18.564607
-0.15,1,19.916853
-0.25,1,21.281356
-0.15,1,22.647248
-0.15,1,24.107595
-0.15,1,25.498523
-0.15,1,26.863115
-0.15,1,28.290244
-0.15,1,29.68099
-0.15,1,31.083959
-0.15,1,32.440726
-0.15,1,33.851616
-0.15,1,35.238679
-0.15,1,36.624742
-0.15,1,37.982052
-0.15,1,39.36267
-0.15,1,40.744661
-0.15,1,42.096502
-0.15,1,43.541482
-0.15,1,44.90039
-0.15,1,46.279991
-0.15,1,47.670868
-0.15,1,49.107885
-0.15,1,50.494623
-0.15,1,51.833979
-0.15,1,53.227782
-0.15,1,54.577326
-0.15,1,55.957778
-0.15,1,57.379996
-0.15,1,58.710973
-0.15,1,60.084116
-1.15,1,61.427724
-0.15,1,62.804394
-0.15,1,64.179188
-1.15,1,65.569216
-0.15,1,66.97865
-0.15,1,68.310818
-0.15,1,69.713668
-0.15,1,71.099506
-0.15,1,72.506935
-1.15,1,73.898023
-0.15,1,75.254341
-0.15,1,76.596432
-0.15,1,78.02233
-0.15,1,79.36808
-0.15,1,80.749446
-0.15,1,82.120361
-0.15,1,83.508898
-0.15,1,84.922308
-0.15,1,86.263873
-0.15,1,87.644626
-0.15,1,88.985013
-0.15,1,90.333629
-0.15,1,91.704628
-0.15,1,93.072918
-0.15,1,94.46134
-0.15,1,95.897032
-0.15,1,97.253155
-0.15,1,98.62615
-0.15,1,100.03765
-0.15,1,101.45009
-0.15,1,102.843318
-0.15,1,104.236898
-0.15,1,105.608613
-0.15,1,107.009259
-1.15,1,108.36875
-1.15,1,109.717541
-0.15,1,111.080936
-0.15,1,112.464494
-1.6,4,117.72029
-0.15,1,119.070487
-0.15,1,120.503107
-0.15,1,121.911169
-0.15,1,123.277797
-0.15,1,124.628176
-0.15,1,126.039445
-0.15,1,127.410216
-0.15,1,128.838477
-0.15,1,130.205623
-0.15,1,131.581585
-0.15,1,132.962431
-0.15,1,134.320352
-0.15,1,135.69857
-0.15,1,137.06523
-0.15,1,138.536731
-0.15,1,139.932291
-0.15,1,141.362529
-0.15,1,142.703852
-0.15,1,144.065794
-0.15,1,145.462813
-0.15,1,146.832788
-0.15,1,148.212389
-0.15,1,149.658206
-1.0,6,157.11242
-1.7,4,162.463679
-0.15,1,163.841205
-0.15,1,165.237848
-0.15,1,166.606667
-0.15,1,168.000232
-0.15,1,169.384593
-0.15,1,170.804416
-0.15,1,172.212061
-0.15,1,173.612263
-0.15,1,174.956157
-0.15,1,176.413737
-0.15,1,177.77189
-0.15,1,179.171235
-0.15,1,180.579331
-0.15,1,181.984482
-0.15,1,183.350048
-0.15,1,184.720087
-0.15,1,186.137633
-0.15,1,187.532269
-0.15,1,188.885622
-0.15,1,190.082166
-0.15,1,191.193267
-0.15,1,192.351582
-0.15,1,193.48036
-0.15,1,194.610468
-0.15,1,195.760263
-0.15,1,196.854385
-0.15,1,197.963166
-1.05,7,205.165058
-2.0,6,211.7441
