#{"t_start": 1686708564.668826, "env_id": null}
r,l,t
-0.3,1,3.584648
0.7,1,4.486167
0.7,1,5.38426
0.7,1,6.234891
0.7,1,7.142966
0.7,1,8.012176
0.7,1,8.929581
0.7,1,33.386271
0.7,1,34.280227
0.8,1,35.15562
0.8,1,36.047411
0.7,1,36.925709
0.7,1,37.842816
0.7,1,38.725745
0.7,1,39.569635
0.7,1,40.469412
0.7,1,41.370284
0.7,1,42.230131
0.7,1,43.111425
0.7,1,44.022639
0.7,1,44.921041
0.7,1,45.79244
0.7,1,46.699278
0.7,1,47.579102
0.7,1,48.513278
0.8,1,49.402462
0.7,1,50.267067
0.7,1,51.129293
0.7,1,52.012671
0.7,1,52.856872
0.7,1,53.738591
0.7,1,54.609962
0.7,1,55.518961
0.7,1,56.487306
51.3,59,109.631477
0.7,1,110.720309
0.8,1,111.877596
0.8,1,113.025625
0.1,1,114.209988
0.7,1,115.330704
0.8,1,116.463442
0.8,1,117.580401
0.8,1,118.716729
0.7,1,119.865863
0.7,1,120.928026
0.7,1,122.029563
0.7,1,123.154399
0.7,1,124.328856
0.7,1,125.463913
0.7,1,126.618451
0.7,1,127.721493
0.7,1,128.851709
0.7,1,129.984131
0.7,1,131.115703
0.7,1,132.209584
0.7,1,133.270947
0.7,1,134.367297
0.7,1,135.434051
-0.3,1,136.55671
0.7,1,137.67414
0.7,1,138.785072
-0.3,1,139.909033
0.7,1,141.040524
0.7,1,142.132976
0.7,1,143.228732
0.7,1,144.310234
0.7,1,145.443736
0.7,1,146.541568
0.7,1,147.672299
0.7,1,148.801823
0.7,1,149.915389
0.7,1,151.03267
0.7,1,152.155871
0.7,1,153.307429
0.7,1,154.45175
0.7,1,155.60951
0.7,1,156.697892
-0.3,1,157.877275
0.7,1,159.045924
0.7,1,160.162282
0.7,1,161.267432
0.7,1,162.276469
0.0,1,163.199958
0.7,1,164.064595
0.7,1,164.943405
0.7,1,165.829255
0.7,1,166.685084
0.7,1,167.560558
0.7,1,168.490449
0.7,1,169.398849
0.7,1,170.267268
-0.3,1,171.221346
0.7,1,172.077301
0.7,1,172.991533
0.7,1,173.856902
0.7,1,174.751357
0.7,1,175.66098
0.7,1,176.522051
0.7,1,177.46496
0.7,1,178.408221
0.7,1,179.314698
0.7,1,180.177931
0.7,1,181.068304
0.7,1,181.954204
0.7,1,182.848096
0.7,1,183.741642
0.7,1,184.652103
0.7,1,185.548551
0.8,1,186.503056
0.7,1,187.455801
0.7,1,188.369086
0.7,1,189.288476
0.7,1,190.195679
0.7,1,191.066396
0.7,1,192.056389
0.7,1,193.007283
0.7,1,193.881874
