#{"t_start": 1686709151.0440238, "env_id": null}
r,l,t
28.35,52,67.316957
-1.0,1,68.697974
0.1,1,70.036905
0.1,1,71.399032
0.1,1,72.771393
0.1,1,74.202997
0.1,1,75.564708
0.1,1,76.907864
0.1,1,78.279569
0.1,1,79.66459
0.1,1,81.005821
0.1,1,82.356357
0.1,1,83.712993
0.1,1,85.049595
0.1,1,86.385632
0.1,1,87.769327
0.1,1,89.126781
0.1,1,90.471849
0.1,1,91.795804
0.1,1,93.131006
0.1,1,94.51736
0.1,1,95.861727
0.1,1,97.262547
0.1,1,98.624816
0.1,1,99.962487
0.1,1,101.354825
-0.9,1,102.698113
0.1,1,104.054027
0.1,1,105.390811
0.1,1,106.706297
0.1,1,108.065099
-0.4,6,114.926582
-0.6,5,120.569687
0.0,1,121.939244
0.0,1,123.240401
0.6,6,130.662931
0.5,5,136.785554
-0.4,6,143.626979
-0.4,6,150.483867
0.5,5,156.684345
-0.4,6,163.549808
-0.4,6,170.470791
-0.4,6,177.411274
-0.4,6,184.309835
-0.5,5,189.873662
-0.8,4,195.090573
0.0,1,196.437246
0.0,1,197.788119
0.1,1,199.130722
0.1,1,200.472164
0.1,1,201.809794
0.1,1,203.132788
0.1,1,204.464962
0.1,1,205.815696
0.1,1,207.185773
0.1,1,208.520705
0.5,5,214.625636
-0.7,4,219.835163
0.0,1,221.178623
-0.4,6,228.016216
0.3,3,231.913027
0.1,1,233.247037
0.1,1,234.612396
0.1,1,235.989485
0.1,1,237.304566
0.1,1,238.621059
0.1,1,239.987464
0.1,1,241.340764
0.1,1,242.700308
0.1,1,244.067773
0.1,1,245.407754
0.1,1,246.796842
0.1,1,248.157723
0.1,1,249.532779
0.1,1,250.872175
0.2,2,253.499639
0.1,1,254.85786
0.1,1,256.204458
0.1,1,257.570168
0.1,1,258.966537
0.1,1,260.373141
-0.4,6,267.350919
-0.75,5,272.915879
0.4,4,277.779956
-0.8,3,281.76789
-0.3,7,289.903632
-0.5,5,295.653163
-0.9,2,298.246046
0.1,1,299.613601
0.1,1,300.996909
0.1,1,302.381461
0.0,1,303.728487
0.7,7,312.435918
0.6,6,319.699318
-0.5,5,325.329368
-0.5,5,330.919898
-0.9,2,333.577181
0.0,1,334.900731
0.1,1,336.278514
-0.3,7,344.543285
-0.6,5,350.202086
0.1,1,351.5785
0.1,1,352.958062
0.1,1,354.293723
0.7,7,362.910417
0.5,5,368.961989
-0.5,5,374.583453
0.0,1,375.933023
0.1,1,377.294631
0.1,1,378.658912
0.7,7,387.23608
0.5,5,393.329101
-0.9,2,395.986448
0.0,1,397.302615
0.0,1,398.626277
0.1,1,400.046484
0.1,1,401.426363
0.1,1,402.801583
0.1,1,404.152143
0.1,1,405.473086
0.6,6,412.861939
0.5,5,418.933186
0.0,1,420.303902
0.1,1,421.63333
0.1,1,423.017375
0.1,1,424.421051
-0.3,7,432.646944
0.5,5,438.702093
0.5,5,444.653822
-0.6,5,450.255577
0.0,1,451.57257
0.3,3,455.50386
0.1,1,456.841585
0.1,1,458.173572
0.1,1,459.521736
0.1,1,460.885979
0.1,1,462.245177
0.1,1,463.601257
0.1,1,465.009984
0.1,1,466.424894
0.1,1,467.766239
0.1,1,469.105738
0.1,1,470.452507
0.1,1,471.799952
0.1,1,473.10633
0.1,1,474.484485
0.1,1,475.877846
0.1,1,477.281573
0.1,1,478.658094
0.1,1,480.010024
0.1,1,481.344995
0.1,1,482.696786
0.1,1,484.030529
0.1,1,485.371138
0.1,1,486.702637
0.1,1,488.086374
0.1,1,489.420927
0.1,1,490.812091
0.1,1,492.124082
0.1,1,493.490841
0.1,1,494.86982
-0.9,2,497.457601
0.1,1,498.770831
0.1,1,500.153085
0.1,1,501.562411
0.1,1,502.88177
0.6,6,510.222302
0.5,5,516.312195
0.5,5,522.358491
0.5,5,528.323528
-0.5,5,533.943911
-0.5,5,539.530997
0.0,1,540.908351
0.6,6,548.232803
-0.5,5,553.921605
-0.9,2,556.481701
0.0,1,557.8204
0.1,1,559.170799
0.1,1,560.547923
0.1,1,561.898272
-0.9,1,563.287644
0.1,1,564.643138
0.1,1,566.033162
0.5,5,571.980709
-0.6,5,577.605774
0.1,1,578.947772
0.1,1,580.304676
0.1,1,581.664941
0.0,1,582.990341
0.1,1,584.362024
0.0,1,585.644374
-0.9,1,587.061526
0.1,1,588.415707
0.1,1,589.802141
0.1,1,591.178533
0.1,1,592.585049
-0.3,7,600.854165
0.4,5,606.959623
-0.7,4,612.15857
0.1,1,613.569999
0.1,1,614.946363
0.1,1,616.350459
0.1,1,617.725657
0.6,6,625.31397
-0.7,4,630.691956
-0.5,5,636.652399
0.0,1,638.025542
-0.4,6,645.054031
-1.0,1,646.374153
0.7,7,655.042419
-0.5,5,660.669814
-0.5,5,666.315307
-0.8,3,670.301148
0.6,6,677.639628
-0.5,5,683.326001
0.4,4,688.123418
-0.7,4,693.29536
0.1,1,694.692829
0.1,1,696.051481
0.1,1,697.410209
0.1,1,698.776701
0.1,1,700.111801
0.1,1,701.440371
0.1,1,702.803783
0.1,1,704.18516
0.1,1,705.525788
0.1,1,706.846859
-0.4,6,713.722775
0.5,5,719.841594
-0.5,5,725.411783
0.5,5,731.345
-0.5,5,736.941669
-0.5,5,742.550258
-0.6,5,748.209594
0.1,1,749.544279
0.1,1,750.89175
0.1,1,752.272639
0.1,1,753.608488
0.1,1,754.94202
0.0,1,756.290748
0.1,1,757.666385
0.1,1,758.984674
0.1,1,760.36515
0.1,1,761.682635
0.1,1,763.04185
0.1,1,764.396733
0.1,1,765.769037
0.1,1,767.139596
0.1,1,768.5262
0.1,1,769.887899
0.1,1,771.240373
0.1,1,772.652269
0.1,1,774.040001
0.1,1,775.38408
0.1,1,776.727966
0.1,1,778.09126
0.1,1,779.480194
0.1,1,780.797593
0.1,1,782.165462
0.1,1,783.480416
0.1,1,784.859346
0.1,1,786.240733
0.1,1,787.55724
0.1,1,788.913426
0.1,1,790.230002
-0.9,1,791.572131
0.0,1,792.873665
0.1,1,794.202856
0.1,1,795.551969
0.1,1,796.945055
0.1,1,798.31319
0.1,1,799.66288
0.1,1,801.041255
0.1,1,802.416346
0.1,1,803.794798
0.1,1,805.177222
0.1,1,806.535574
0.1,1,807.876127
-0.9,1,809.239855
-1.0,1,810.618108
0.1,1,811.980424
0.1,1,813.319732
0.1,1,814.676924
0.1,1,816.070658
0.1,1,817.44447
0.0,1,818.779295
0.0,1,820.136374
-1.0,1,821.479621
0.1,1,822.868822
0.1,1,824.211938
0.1,1,825.561925
0.1,1,826.874768
0.1,1,828.240232
0.1,1,829.591819
0.1,1,830.974826
0.1,1,832.356481
0.1,1,833.706742
0.1,1,835.090046
0.1,1,836.423184
0.0,1,837.823095
0.1,1,839.186857
-1.0,1,840.513815
0.0,1,841.858494
0.0,1,843.209139
0.1,1,844.545599
0.1,1,845.909609
0.1,1,847.272646
0.1,1,848.674157
0.1,1,850.029848
0.1,1,851.390415
0.0,1,852.697871
0.1,1,854.070611
0.1,1,855.433491
0.1,1,856.817176
0.1,1,858.171226
0.1,1,859.516687
0.0,1,860.878768
0.1,1,862.204154
0.1,1,863.596947
0.1,1,864.950878
0.1,1,866.305786
0.1,1,867.681914
0.1,1,869.033133
0.1,1,870.414628
0.1,1,871.778582
0.1,1,873.118373
0.1,1,874.472896
0.1,1,875.870969
0.1,1,877.198493
0.1,1,878.528085
0.1,1,879.864866
0.2,2,882.513056
0.1,1,883.849737
0.1,1,885.180374
0.1,1,886.525367
0.0,1,887.842103
0.1,1,889.17438
0.1,1,890.568658
0.1,1,891.920377
0.1,1,893.259207
0.1,1,894.615016
0.1,1,895.719049
0.1,1,897.15533
0.1,1,898.469795
0.1,1,899.799359
0.1,1,901.13289
0.1,1,902.476173
0.0,1,903.821042
0.1,1,905.195169
0.1,1,906.564926
0.1,1,907.932522
0.1,1,909.315993
0.1,1,910.673954
0.0,1,912.019902
0.0,1,913.399022
0.0,1,914.798049
0.0,1,916.09857
0.1,1,917.459188
0.0,1,918.823946
0.1,1,920.161317
0.1,1,921.544102
0.1,1,922.87582
0.1,1,924.233267
-1.0,1,925.597119
0.0,1,926.913688
0.0,1,928.29147
0.0,1,929.654711
0.0,1,931.029657
0.0,1,932.397989
0.0,1,933.735142
0.1,1,935.066971
0.0,1,936.374999
0.0,1,937.727602
0.0,1,939.057667
